learning rate,momentum,batch size,epoch,train error,test error
0.01,0,100,0,8.016212257999499,7.746230952287289
0.01,0,100,1,7.193193903896883,7.031982811285414
0.01,0,100,2,6.776888681939451,6.636852183878187
0.01,0,100,3,6.547364744559053,6.422977243107216
0.01,0,100,4,6.408181265527963,6.288257619375263
0.01,0,100,5,6.322892793178053,6.213770368226944
0.01,0,100,6,6.256874115278578,6.155408725033091
0.01,0,100,7,6.198629534187409,6.100905983857196
0.01,0,100,8,6.147567720228388,6.055667620827452
0.01,0,100,9,6.0997725146237345,6.013166745266561
0.01,0,100,10,6.0594768793338165,5.9804543150899026
0.01,0,100,11,6.008753378963386,5.926872149982793
0.01,0,100,12,5.964565024836521,5.885187268320083
0.01,0,100,13,5.924108783554955,5.847113295612726
0.01,0,100,14,5.88096594704161,5.80220663886405
0.01,0,100,15,5.837201411653988,5.756221339152569
0.01,0,100,16,5.8103015531463384,5.738208681292082
0.01,0,100,17,5.759725998574504,5.679170595324637
0.01,0,100,18,5.719422252841536,5.637648050046588
0.01,0,100,19,5.688002851049208,5.610921922996665
0.01,0,100,20,5.64354318860474,5.562943370026861
0.01,0,100,21,5.608865753959217,5.5303109705201905
0.01,0,100,22,5.573283524538559,5.493978034457635
0.01,0,100,23,5.533937143582575,5.446429695257964
0.01,0,100,24,5.493525504431676,5.406076015866602
0.01,0,100,25,5.455408517623881,5.370193668377044
0.01,0,100,26,5.424671154555191,5.3436919734563215
0.01,0,100,27,5.394625573788442,5.315806914467861
0.01,0,100,28,5.336331661799299,5.247542565658197
0.01,0,100,29,5.330868655254752,5.255542229600033
0.01,0,100,30,5.256035310126288,5.16154793547087
0.01,0,100,31,5.217787797983951,5.119768752242699
0.01,0,100,32,5.195517431528319,5.10774373824496
0.01,0,100,33,5.1380131738958035,5.046101093192453
0.01,0,100,34,5.163910722070937,5.08970686920352
0.01,0,100,35,5.0484514020564815,4.947025251135084
0.01,0,100,36,5.005621538914693,4.896608215426502
0.01,0,100,37,5.019704547206856,4.936260550608458
0.01,0,100,38,4.9443994610997635,4.827008025545793
0.01,0,100,39,4.898427788770143,4.795190192207804
0.01,0,100,40,4.845771063415515,4.732454663139911
0.01,0,100,41,4.889559163179041,4.802867212842286
0.01,0,100,42,4.999056854047822,4.95062074006324
0.01,0,100,43,4.7269521423619345,4.598326348617597
0.01,0,100,44,4.6927133607658575,4.565729836345181
0.01,0,100,45,4.6557807263111926,4.520276669677465
0.01,0,100,46,4.897142740190684,4.782530396322007
0.01,0,100,47,4.76973799622437,4.635142579915394
0.01,0,100,48,4.57242464242535,4.4208469485975606
0.01,0,100,49,4.5430113613219945,4.397111308881572
0.01,0,100,50,4.494700703247429,4.352986562426818
0.01,0,100,51,4.46193934655717,4.317817216226292
0.01,0,100,52,4.437197803868962,4.291921754284892
0.01,0,100,53,4.7775151732520555,4.732879508631775
0.01,0,100,54,4.960262511292925,4.9546090009610255
0.01,0,100,55,4.5274226684498,4.373696936366534
0.01,0,100,56,4.408396307122323,4.244589693407995
0.01,0,100,57,4.343719755269124,4.178863053935646
0.01,0,100,58,4.342073339599233,4.178931984398117
0.01,0,100,59,4.389034334715438,4.228253711883001
0.01,0,100,60,4.3474270965703115,4.182885932421668
0.01,0,100,61,4.498051785524219,4.347336915244762
0.01,0,100,62,4.667890376320395,4.63862146689571
0.01,0,100,63,4.508380693784432,4.45161472341977
0.01,0,100,64,4.852430395764999,4.861130007260066
0.01,0,100,65,4.210613762990866,4.078787797273982
0.01,0,100,66,4.628283618423085,4.603207579042148
0.01,0,100,67,4.115628001498471,3.9608231201342505
0.01,0,100,68,4.426198958900193,4.370547887405998
0.01,0,100,69,4.625090049942574,4.604789312774075
0.01,0,100,70,4.188073986911693,4.078633056318818
0.01,0,100,71,4.5560565463338785,4.532916737880145
0.01,0,100,72,4.393005136415591,4.342761245387965
0.01,0,100,73,4.235942944252009,4.153311012666796
0.01,0,100,74,4.643260578297794,4.64076911609227
0.01,0,100,75,4.007121605799978,3.863055204065236
0.01,0,100,76,4.329322161462468,4.275456987026219
0.01,0,100,77,4.524117696094445,4.506984563893161
0.01,0,100,78,4.542161087288792,4.537364427453689
0.01,0,100,79,4.286936118506605,4.236101902788745
0.01,0,100,80,4.013201376556796,3.894771163601197
0.01,0,100,81,4.632123403222068,4.651091770959893
0.01,0,100,82,4.380313895865995,4.3570911905827545
